tx_id,tx_hash,sender_address,receiver_address,value,fee,size,vsize,weight,scriptPubKey_hex,high_value_tx,repeat_receiver_tx,high_out_degree,low_entropy_hash,duplicate_tx_flag,fraud_probability,sender_index,receiver_index,Low_Risk,Medium_Risk,High_Risk
4997a24c29bc4149f7061debfbc735b959747f90db1c54484bf086eabe09dd62,27552b1270c5828d7c2917dc5aafa54795289b424869707ead2effda3dcf2963,tb1qww5k85l0y2x64k8flvzc3jj7lnml00ks7qz85a,tb1qww5k85l0y2x64k8flvzc3jj7lnml00ks7qz85a,0.01659881,0.0001071,234,153,609,001473a963d3ef228daad8e9fb0588ca5efcf7f7bed0,0,0,0,0,0,0,6334,6334,1,0,0
46df68abfbbd40b9b52c57749d4f5edef7168d45f84f3085ef42d8818101d046,7b9c390a8060c19d16083884141491d5b7099116de6b5857d9b596965f05ff62,tb1qxcptdxs9yrhe9vkx74s7lt6zlacshjvmzj87xj,tb1qxcptdxs9yrhe9vkx74s7lt6zlacshjvmzj87xj,0.00041099,2.31E-06,313,231,922,00143602b69a0520ef92b2c6f561efaf42ff710bc99b,0,0,0,0,0,0,6392,6392,0,0,1
97593fb42d748ca946c52da1bd55febf73ec1045c9e80e6e9c0970395f5b415f,d6c6cc0696df3412e08b55c085f88b0e642a87d594b4fde75134fb15aa0f6141,tb1qfs2wgyvkercdpnyanj73xnwp5lpemmantszswc,tb1qqn0ps6pvu46mcld579ljpuu7phrvqupy3e9w65,0.00185442,0.000141,222,141,561,001404de18682ce575bc7db4f17f20f39e0dc6c07024,0,0,0,0,0,0,4310,5533,1,0,0
b066e37acf2bdf93078a6aae54269d63068a1217a782af9bc70f282272b5c362,0845f59aea13d772372425505a7d31f43d4e6066b97180d67c5590a715ec9c9d,tb1q7kwuh8pacvck630tdzclaexfp7askayjl85epm,tb1q7kwuh8pacvck630tdzclaexfp7askayjl85epm,0.00162784,0.0001071,234,153,609,0014f59dcb9c3dc3316d45eb68b1fee4c90fbb0b7492,0,0,0,0,0,0,3274,3274,1,0,0
499616d95ee5cac9019ff7881815626e7bc76d2c15c2354d2430ddd904e11198,20472072cc535080d1ae385e10245d432e8dc8f3c002d494c663db28204c6e95,tb1q3l4l4prpkw4zks7merw7l9hq2xa20hv5tsra0t,tb1q3l4l4prpkw4zks7merw7l9hq2xa20hv5tsra0t,1.51E-05,1.41E-06,223,141,562,00148febfa8461b3aa2b43dbc8ddef96e051baa7dd94,0,0,0,0,0,0,2719,2719,1,0,0
a6ac09004e7ce5232b73ea7f6bed8de8e8e03ae5531c2f824da9a5675f8342d3,d4485ac5d9936191b2a2e415a178e117ecfe81e2edbcde4b91604c2ce4b16864,tb1qt2mahzxzgs3p6k9h0wfh2vuy0hqs0w0l8vs46k,tb1qt2mahzxzgs3p6k9h0wfh2vuy0hqs0w0l8vs46k,13.45854441,1.68E-05,234,153,609,00145ab7db88c244221d58b77b937533847dc107b9ff,1,1,1,0,0,1,5849,5849,1,0,0
5657758ae5eac7fbdcc3baa01da26fa1808a91a7ccbeab9ccb6afda85c5ddff4,74927d8f5509cd010af3e20912c446c40022d378d8c4b7253369ac1ae96931a5,tb1q2zv4uruh7x67slshv7crcczenlu5mxhavc60ls,tb1q2zv4uruh7x67slshv7crcczenlu5mxhavc60ls,1.04E-05,0.00013232,1140,1059,4233,001450995e0f97f1b5e87e1767b03c60599ff94d9afd,0,0,0,0,0,0,2637,2637,1,0,0
4669486906326a2f1ddaf3d6fcf68d1da1321a3565bbeded7366071b17a7801a,fa4fc1870638ee8b6baec0cc69365973edeca66e9aa3a79c49b7ee252c2ee920,tb1qnx8lp85xs3g5kqff93juvrmn86fddp8l4rh9s0,tb1qnx8lp85xs3g5kqff93juvrmn86fddp8l4rh9s0,0.00105944,2.31E-06,312,231,921,0014998ff09e8684514b01292c65c60f733e92d684ff,0,0,0,0,0,0,5298,5298,1,0,0
32f565e64f6f854f504faffeb2390ef4421a1e6eff533a60ea2876c9a850e2cb,a482db3eded838f8578b72f1330fc601f0b865b8bdef0f34c3a0305aee40a0eb,tb1qww5k85l0y2x64k8flvzc3jj7lnml00ks7qz85a,tb1qww5k85l0y2x64k8flvzc3jj7lnml00ks7qz85a,0.01555229,0.0001071,235,153,610,001473a963d3ef228daad8e9fb0588ca5efcf7f7bed0,0,0,0,0,0,0,6334,6334,0,0,1
3f3ead883965d84fd126154c1b810bbe9acf6a860a9f7490b855305a873bf157,e63780699ac9eb3c3d732cc04a57a61d75f1615e85747ccd4eb4749d0b376b5b,tb1ppxgareyam48k38vc0etl8smgyuhnuxfje40ys79ff6x75fmv34rqdtemfs,tb1ppxgareyam48k38vc0etl8smgyuhnuxfje40ys79ff6x75fmv34rqdtemfs,1.99742332,2.00E-05,205,154,616,51200991d1e49ddd4f689d987e57f3c368272f3e1932cd5e4878a94e8dea276c8d46,1,0,0,0,0,0,1777,1777,1,0,0
fa23374c5fdae862a190941f78f49276953f39e6372e130fa75ad951de67695c,eacca426c585697a41cc2b8ee8842f88834e7cbe452a0ad6a9f899188aa4f367,tb1q77h02ey8kl4w537r3ymn5ev02ye7kwz24mgn73,tb1q77h02ey8kl4w537r3ymn5ev02ye7kwz24mgn73,0.00054475,1.41E-06,222,141,561,0014f7aef56487b7eaea47c389373a658f5133eb384a,0,0,0,0,0,0,3227,3227,0,0,1
9764697bad694a6d47b59dc8c9cc06a003a62be9b3b4ec055343d91ff08e54d2,b08a4eae9ba734ad0eb24752fab416bb32a604c05f6ab06cb53687fe383c20ca,tb1p39ws583kswqygtf7eepalyzj7z8jvvjh07drz4q299fd26k5f3hste5s8l,tb1p39ws583kswqygtf7eepalyzj7z8jvvjh07drz4q299fd26k5f3hste5s8l,0.09730233,1.69E-05,205,154,616,5120895d0a1e368380442d3ece43df9052f08f2632577f9a31540a2952d56ad44c6f,0,1,1,0,0,1,578,578,0,0,1
95f61a05916dd3a2c9888e7a1ed9329ade0b138603900ea7a26f07f7ffc37472,a67e04c8d0f4c4d075bb52b90adad98cec759d955896d35e9982b0cfb6f35ce0,tb1qp57pasn08a45v82nzplxnd8juq3vugqxn8qlea,tb1qp57pasn08a45v82nzplxnd8juq3vugqxn8qlea,0.02097401,4.59E-05,234,153,609,00140d3c1ec26f3f6b461d53107e69b4f2e022ce2006,0,0,0,0,0,0,5330,5330,1,0,0
17f69fc2634b811a4be9a2e0f882931c7a8f6b76c7211a2ea757b82a7a7e1a16,58e149433483b823dad3dcfe075a57bf690f5e94c4937194000601193850d73f,tb1p6x9d3pldgt66y740av7s8rr07gptmw0gadqrxck9j89m8kkv5gkstuh34y,tb1p6x9d3pldgt66y740av7s8rr07gptmw0gadqrxck9j89m8kkv5gkstuh34y,0.4403708,2.00E-05,205,154,616,5120d18ad887ed42f5a27aafeb3d038c6ff202bdb9e8eb403362c591cbb3dacca22d,0,0,0,0,0,0,804,804,1,0,0
3b48c6180c2d7cc323a219236a4b4866b12f916f0a6eb1a48fc4c57d00b05d97,768cd6f9c8db021a58d27f9febaf25b1b884636646c6d73de4d5d88b4b11d893,tb1qcjfmut8j33h436apjj6tm98q0rhy4983ke93a6,tb1qtd6jd2gh890gq04l02gw9j8hem6sa52plkjv2z,0.00091489,0.000141,222,141,561,00145b7526a917395e803ebf7a90e2c8f7cef50ed141,0,0,0,0,0,0,3873,5891,0,0,1
51544db289fee7100a037af5a973db9c5de00479e7fd791894ef5b0d485516f5,1069d9a87248151e334ac1e29e7d986f240f4e84868218c8cbb71fd126ac3bfc,tb1p3pgq7zxkzm42nqj38xuvqycpdl67e3zqq7wfl7dv9jh7wtddz6fs7u2jxy,tb1p3pgq7zxkzm42nqj38xuvqycpdl67e3zqq7wfl7dv9jh7wtddz6fs7u2jxy,1.99168018,2.00E-05,205,154,616,512088500f08d616eaa9825139b8c013016ff5ecc440079c9ff9ac2cafe72dad1693,1,0,0,0,0,0,601,601,1,0,0
4ded5232740b9d5558bec598901650e62c004b12561b0114b6e5a11264d762df,618a8072fd5b7559b48de8d3b048aebe4804be48add68fe31313089804c4a4b4,tb1qvhfd0xcze6x0qgks0y8p7ujzj7wlq7kge0wu92,tb1qvhfd0xcze6x0qgks0y8p7ujzj7wlq7kge0wu92,0.03641023,2.45E-05,234,153,609,001465d2d79b02ce8cf022d0790e1f7242979df07ac8,0,0,0,1,0,0,6157,6157,1,0,0
8586a9e29ba4e653c5ec535dd8a724604c8cf75fc9bb4fa5c0a2d69acb2d6865,6459e6d283318536803117bbabf51de99d3883d3dd980e5b7007ea195bec739d,tb1p3skc6gtuuft5h0hcr0ktkf9ef6avv6fz4yayna0lcc32rd8uvf3s4yx8kh,tb1p3skc6gtuuft5h0hcr0ktkf9ef6avv6fz4yayna0lcc32rd8uvf3s4yx8kh,0.02888188,3.08E-05,205,154,616,51208c2d8d217ce2574bbef81becbb24b94ebac66922a93a49f5ffc622a1b4fc6263,0,0,0,0,0,0,607,607,0,0,1
175e70b8087e778e04460531e6c6a3f213568a9ecc819dab39c3ed89c6604c7c,36d8915a82a38035c4af1465570e0552209d0b88dfbb2f1149d2b0c6fe725d05,tb1qpudfz3lq5y6h7h36uppcd86d7wx5hc500zgdrg,tb1qpudfz3lq5y6h7h36uppcd86d7wx5hc500zgdrg,0.01896503,6.12E-05,234,153,609,00140f1a9147e0a1357f5e3ae043869f4df38d4be28f,0,0,0,0,0,0,5431,5431,1,0,0
d7ca69f7433b480b51d76002660e089617d664c3c2d79bd8dfc4b4b6fd684f94,7ea671141d65bd61bf3685519b1d61d7f1110a17183a4aa75356ab260c0abfb8,tb1qhvggtmvtt2kfxqkv7vecz8rs87e8a4ye0s2cl8,tb1qhvggtmvtt2kfxqkv7vecz8rs87e8a4ye0s2cl8,0.00022854,1.99E-05,235,153,610,0014bb1085ed8b5aac9302ccf333811c703fb27ed499,0,0,0,1,0,0,4618,4618,0,1,0
b08223f6e751b7908299cf8ee64b58a481e50d1260b2efa2d38542a20b7d1dd8,bf9fd08e09c417bf6c3e3f7ab93c0acf7d1f7add1c815e0513cf731fd412aaca,tb1p0wnx6whfd9trax7gyjqh68drftyl5q0rnwxyv6t85l6mxtzguyhsxycy4s,tb1p0wnx6whfd9trax7gyjqh68drftyl5q0rnwxyv6t85l6mxtzguyhsxycy4s,0.00016517,1.56E-05,193,142,568,51207ba66d3ae969563e9bc824817d1da34ac9fa01e39b8c466967a7f5b32c48e12f,0,0,0,0,0,0,493,493,1,0,0
8ca3be0d30f25f67114a3247cfb25d8938f48d21be9ec0e5fb87cd99ab729bb3,ed5ca0cb6e080f398600da9910e41c530071aa62b64c4e0cb8669490c61f4245,tb1q76z7s06d9k5ma20mx00ppr6ak0gfck4qztqhdq,tb1q76z7s06d9k5ma20mx00ppr6ak0gfck4qztqhdq,0.00020987,1.55E-05,223,141,562,0014f685e83f4d2da9bea9fb33de108f5db3d09c5aa0,0,0,0,0,0,0,3222,3222,1,0,0
463953d3469de117286d33015f6d9ac91a36d265db18e0784d1a1c1da97b553b,9c175b24cc80a6d5025862a7d2d2860a27e3dfed5a6612a9811633a8f3c271dc,tb1p53axz4l5wy45klts69z04twajxhs6a6cc0k00rvaexad3h4wg7xsmp80dt,tb1p53axz4l5wy45klts69z04twajxhs6a6cc0k00rvaexad3h4wg7xsmp80dt,4.98204057,1.69E-05,205,154,616,5120a47a6157f4712b4b7d70d144faaddd91af0d7758c3ecf78d9dc9bad8deae478d,1,0,0,0,0,0,685,685,1,0,0
a934a5549e7d456a6824f9d72cc0488126d3927b8ff2807109a7ec1b4b226319,30149036640eecde41bbce6e875b1e0d339dba8435cbae7cb5b9e70943b533aa,2MyniVDrKiP2pMCxDifvmQWxMVMA8Yww5QS,tb1qcr5ykhrmy2rt4w33sy36ryv8t9g5lx43m35el3,5.43792265,0.000164,245,164,653,0014c0e84b5c7b2286baba318123a1918759514f9ab1,1,0,0,1,0,1,95,3912,0,0,1
d2d92dcfa5d3ce1c51202c60994db0ed65d345772989591dcf32bf9f14224136,48afba4ea80ad44eaaf83312c21513fceeab4cddce522cb027e343cc24bfd49e,tb1pr8z9sjyrrmp7zhcpql3ewsvwklvh4dr3kd2cy67f7wurhyq24gcskll4al,tb1pr8z9sjyrrmp7zhcpql3ewsvwklvh4dr3kd2cy67f7wurhyq24gcskll4al,1.99698302,1.85E-05,205,154,616,512019c45848831ec3e15f0107e397418eb7d97ab471b355826bc9f3b83b900aaa31,1,0,0,1,0,1,1870,1870,0,0,1
a415183843b205d884b5de6b09318147d2bde936d24de153a3635946b6481525,ea474cf07c8e1a0c285cc64f29daeb019a3d4d7de1119f0afec6dc740242165b,tb1q43evtg84t59yw40zxgqwsurfrzmxpkv68vdmqd,tb1q43evtg84t59yw40zxgqwsurfrzmxpkv68vdmqd,0.00058783,2.31E-06,312,231,921,0014ac72c5a0f55d0a4755e23200e8706918b660d99a,0,0,0,0,0,0,2792,2792,1,0,0
